,Unnamed: 0,id,text,created_at,lang,source,name,screen_name,bio,us_created_at,followers_count,friends_count,statuses_count,favourites_count,country,country_code,locality,region,sub_region,coordinates,gender_pred,gender,text_pp,sentiment
0,0,1613402886142308353,"Me acabé de despertar con anciedad, lo único que tenia para comer era helado, el tema es que tenia gusto a “frezzer” y ahora solo tengo ganas de vomitar 😓😶😢",2023-01-12T05:09:58+00:00,es,twitter,L✨,@letiigonzNo mNo mNo mNo matchtchtchtchleznumbersnumbers,22 años ❄️ ♍️ virgo,2015-07-17T22:46:12+00:00,177,151,14140,8818,Uruguay,UY,,,,"-33.0, -56.0",2,Man,"Me acabé de despertar con anciedad, lo único que tenia para comer era helado, el tema es que tenia gusto a “frezzer” y ahora solo tengo ganas de vomitar  EMOJI ",negative
1,1,1613399780641611776,Puedo decir que ya recuerdo xq odio fumar cogo y encima estaba el mejor firme  pero bue ES Xq no si#Oporto el viaje odio vomitar,2023-01-12T04:57:37+00:00,es,twitter,motomNo mNo mNo mNo mNo matchtchtchtchtchmi,@cNo mNo mNo mNo matchtchtchtchndusnumbersnumbers,ig : ponny_21_,2013-12-30T01:31:46+00:00,380,686,48696,19649,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,Puedo decir que ya recuerdo xq odio fumar cogo y encima estaba el mejor firme  pero bue ES Xq no siOporto el viaje odio vomitar,negative
2,2,1613378042029539328,"@soffi_avilaa q asco sofia, me dan nauseas leer tu tweet",2023-01-12T03:31:14+00:00,es,twitter,𝒇𝒍𝒐𝒓𝒆𝒏𝒄𝒊No mNo mNo mNo mNo matchtchtchtchtch,@flor_rosenberg,ig; floren_rosen07,2021-07-02T04:54:29+00:00,45,43,1313,29637,Uruguay,UY,,Cerro Largo,,"-32.33333, -54.33333",1,Woman,"q asco sofia, me dan nauseas leer tu tweet",negative
3,3,1613377962828595202,@VanderolaJr Gracias. Si necesito vomitar lo escucho.,2023-01-12T03:30:56+00:00,es,twitter,Ing. El HerrNo mNo mNo mNo mNo matchtchtchtchtchnte (trucho),@el_herrNo mNo mNo mNo matchtchtchtchnte,"Uruguayo.
Defensor Sporting en todos los deportes.
Pistero de aviones.
Batllista y paleoizquierdista.
Del lado de los pobres, la ciencia.
y el progreso.
Voto FA",2010-04-09T13:32:06+00:00,2241,2163,62087,110565,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,Gracias. Si necesito vomitar lo escucho.,neutral
4,4,1613377512163131395,El destino elegido por los uruguayos: Florianópolis advierte por epidemia de diarrea •https://t.co/nTg372W7jC• https://t.co/zr1azbmMJJ,2023-01-12T03:29:08+00:00,es,twitter,EL PAÍS,@elpNo mNo mNo mNo matchtchtchtchisuy,Diario El País de Uruguay. http://elpais.uy/linkenbio,2009-04-15T17:18:57+00:00,834127,669,541454,1959,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,El destino elegido por los uruguayos: Florianópolis advierte por epidemia de diarrea •URL•,negative
5,5,1613375795388645376,"Tener DIARREA, no es abortar. https://t.co/d8l2EhAtn1",2023-01-12T03:22:19+00:00,es,twitter,Ruperto gNo mNo mNo mNo mNo matchtchtchtchtchvilNo mNo mNo mNo mNo matchtchtchtchtchn,@GNo mNo mNo mNo matchtchtchtchvilNo mNo mNo mNo matchtchtchtchnRuperto,Viajando en el diario vivir,2017-03-15T18:13:15+00:00,690,1080,66924,6954,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,"Tener diarrea, no es abortar. URL",neutral
6,6,1613368363195183105,Estás ganas de vomitar no se me quitan🥺,2023-01-12T02:52:47+00:00,es,twitter,frNo mNo mNo mNo mNo matchtchtchtchtchnnnn✨,@dellongo_frNo mNo mNo mNo matchtchtchtchn,"“Valora y cuida lo que tienes, o procura no llorar cuando lo pierdas.”🌗🌛⭐️💫",2018-01-23T20:43:43+00:00,940,1224,21860,22801,Uruguay,UY,Maldonado,Maldonado,,"-34.9, -54.95",1,Woman,Estás ganas de vomitar no se me quitan EMOJI ,negative
7,7,1613366317117210627,"@ramaasilvaa gil no puedo ni verla a camila, vomito",2023-01-12T02:44:39+00:00,es,twitter,tinchow,@ttinchow,💛🖤,2017-08-27T18:43:50+00:00,114,445,5864,28425,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"gil no puedo ni verla a camila, vomito",negative
8,8,1613360910181040128,"@Soy_TanYo En una joda no me comí 1, sino como 3 brownies porque estaban ricos y no me pegaban y también fumé. Cuando terminó la noche empecé a sentirme mal y me pedí un Uber, el viaje más largo de mi vida. Íbamos por rambla a la altura del puerto y empecé a flashear que quería vomitar",2023-01-12T02:23:10+00:00,es,twitter,IntensNo mNo mNo mNo mNo matchtchtchtchtch mente,@intensNo mNo mNo mNo matchtchtchtch___mente,"Expert level en perder cosas. 
Fernet y michis si, por favor. 💜",2015-12-16T04:18:07+00:00,237,304,1141,3799,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"En una joda no me comí NUM, sino como NUM brownies porque estaban ricos y no me pegaban y también fumé. Cuando terminó la noche empecé a sentirme mal y me pedí un Uber, el viaje más largo de mi vida. Íbamos por rambla a la altura del puerto y empecé a flashear que quería vomitar",negative
9,9,1613360523176812545,estas ganas de vomitar que no se me van más 😩,2023-01-12T02:21:38+00:00,es,twitter,𝑻 No mNo mNo mNo mNo matchtchtchtchtch 𝒎 No mNo mNo mNo mNo matchtchtchtchtch,@tNo mNo mNo mNo matchtchtchtchmNo mNo mNo mNo matchtchtchtchrNo mNo mNo mNo matchtchtchtchberto_,,2022-10-29T21:48:46+00:00,33,31,221,149,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,estas ganas de vomitar que no se me van más  EMOJI ,negative
10,10,1613357779233931266,@Agustinn279 No va a entrenar porque tiene “diarrea”,2023-01-12T02:10:43+00:00,es,twitter,MNo mNo mNo mNo mNo matchtchtchtchtchthíNo mNo mNo mNo mNo matchtchtchtchtchs,@MNo mNo mNo mNo matchtchtchtchthiNo mNo mNo mNo matchtchtchtchsnumbersnumbersnumbersnumbers,Club Atlético Peñarol,2011-07-05T18:56:03+00:00,786,255,60751,40981,Uruguay,UY,Nueva Helvecia,Colonia,,"-34.3, -57.23333",1,Woman,No va a entrenar porque tiene “diarrea”,negative
11,11,1613351528173277184,El biza viene a ser como el psicólogo que te alienta a vomitar todo y que se arme el quilombo. Total? Yo solo di play jajjajaa LO AMO,2023-01-12T01:45:53+00:00,es,twitter,MelNo mNo mNo mNo mNo matchtchtchtchtchniNo mNo mNo mNo mNo matchtchtchtchtch BellinNo mNo mNo mNo mNo matchtchtchtchtch,@MelBellinNo mNo mNo mNo matchtchtchtch,🌎🌍🌏,2010-05-05T03:29:37+00:00,318,211,6843,5504,Uruguay,UY,Colonia del Sacramento,Colonia,,"-34.46262, -57.83976",1,Woman,El biza viene a ser como el psicólogo que te alienta a vomitar todo y que se arme el quilombo. Total? Yo solo di play jajjajaa LO amo,positive
12,12,1613347537163014146,"@altaamarga Que mal! Nunca me pasó, he vomitado por otras razones acá.",2023-01-12T01:30:02+00:00,es,twitter,SNo mNo mNo mNo mNo matchtchtchtchtchntiNo mNo mNo mNo mNo matchtchtchtchtchgo GuzmNo mNo mNo mNo mNo matchtchtchtchtchn,@puntoyseguidonumbersnumbers,Mi único acto de rebeldía es apagar la 1er alarma para levantarme con la 2da. En mis ratos libres estudio Arquitectura.,2022-02-11T12:24:03+00:00,738,747,18983,73136,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,"Que mal! Nunca me pasó, he vomitado por otras razones acá.",negative
13,13,1613346975298080768,@portalmvd Por favor como le duele al fa. Ya da gana de vomitar..,2023-01-12T01:27:48+00:00,es,twitter,AriNo mNo mNo mNo mNo matchtchtchtchtchno BiNo mNo mNo mNo mNo matchtchtchtchtchnchi,@ArtigNo mNo mNo mNo matchtchtchtchsnumbersnumbersnumbersnumbers,"🇺🇾Hincha del gol más importante de la historia del Fútbol de Uruguay🇺🇾, Maracana 🇧🇷Brasil, Chiggia 1950.🇺🇾🇺🇾",2015-03-05T18:09:46+00:00,402,2049,12894,7251,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,Por favor como le duele al fa. Ya da gana de vomitar.,negative
14,14,1613346501798813696,lpm vomito https://t.co/aCqvpJxxP1,2023-01-12T01:25:55+00:00,es,twitter,vicky 🇺🇾★★★★★,@goldenxvibeznumbersnumbers,we'll be alright |she/her| |19|,2020-01-25T13:45:37+00:00,919,1183,36952,121080,Uruguay,UY,,,,"-33.0, -56.0",2,Man,lpm vomito URL,negative
15,15,1613345457237024769,nueve minutos creo que voy a vomitar,2023-01-12T01:21:46+00:00,es,twitter,sNo mNo mNo mNo mNo matchtchtchtchtchntiNo mNo mNo mNo mNo matchtchtchtchtchgo,@sNo mNo mNo mNo matchtchtchtchntivillNo mNo mNo mNo matchtchtchtchbNo mNo mNo mNo matchtchtchtchl,not mature enough for this,2018-02-03T05:28:28+00:00,744,632,10765,49506,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,nueve minutos creo que voy a vomitar,negative
